date,timestamp,satellite,latitude,longitude,cloud_percentage,VV_dB,VH_dB,angle,VH_VV_ratio,NDVI,EVI,NDWI,NDMI,Blue,Green,Red,NIR,SWIR1,SWIR2
2015-02-26,2015-02-26 00:39:42.280,S1,11.761146,76.587991,,-10.410979769962085,-19.727132121029033,42.70947346217195,1.8948391560558067,,,,,,,,,,
2015-02-26,2015-02-26 00:39:42.400,S1,11.761146,76.587991,,-8.530914383264905,-18.118151647127732,42.724958804170434,2.123822937746288,,,,,,,,,,
2015-07-08,2015-07-08 00:40:08.290,S1,11.761146,76.587991,,-7.629151120729603,-16.057259676595226,42.72317555456449,2.1047242900937073,,,,,,,,,,
2015-07-20,2015-07-20 00:40:09.330,S1,11.761146,76.587991,,-7.59232852925184,-13.899655066144216,42.713991499438734,1.8307499487925756,,,,,,,,,,
2015-08-13,2015-08-13 00:40:10.650,S1,11.761146,76.587991,,-5.70675629587531,-13.544490581424204,42.71666175542524,2.3734131753994467,,,,,,,,,,
2015-09-06,2015-09-06 00:40:11.730,S1,11.761146,76.587991,,-7.575798101901471,-17.377581325939655,42.714514373818325,2.293828464301076,,,,,,,,,,
2015-10-12,2015-10-12 00:40:12.580,S1,11.761146,76.587991,,-5.0805365383536225,-13.441189097409946,42.71488613172621,2.645623940688288,,,,,,,,,,
2015-11-05,2015-11-05 00:40:12.270,S1,11.761146,76.587991,,-7.007182378648988,-16.097334468464293,42.716978307017484,2.297262094606409,,,,,,,,,,
2015-11-17,2015-11-17 00:39:58.920,S1,11.761146,76.587991,,-7.055202101852236,-12.891619952396756,42.69639986189737,1.827250270975548,,,,,,,,,,
2015-11-29,2015-11-29 00:39:58.700,S1,11.761146,76.587991,,-5.607222343832646,-13.449272407583528,42.68813219674026,2.398562350996534,,,,,,,,,,
2015-12-23,2015-12-23 00:39:57.780,S1,11.761146,76.587991,,-8.997626415701635,-15.955390795613763,42.693363151164974,1.773288871804038,,,,,,,,,,
2016-01-04,2016-01-04 00:39:57.460,S1,11.761146,76.587991,,-8.836649519474285,-17.13346468717478,42.69170641441199,1.9389096115463107,,,,,,,,,,
2016-01-16,2016-01-16 00:39:56.970,S1,11.761146,76.587991,,-8.758799647960245,-14.435924600244151,42.693222512513366,1.6481624401131265,,,,,,,,,,
2016-02-09,2016-02-09 00:39:56.380,S1,11.761146,76.587991,,-10.944011996927243,-16.090529508375916,42.6901415670761,1.470258760031848,,,,,,,,,,
2016-02-21,2016-02-21 00:39:56.380,S1,11.761146,76.587991,,-9.05639206170181,-15.38975420682447,42.68907540114885,1.6993250846444186,,,,,,,,,,
2016-03-04,2016-03-04 00:40:08.000,S1,11.761146,76.587991,,-8.067570469547244,-17.00363371137768,42.709094052437024,2.10765233171021,,,,,,,,,,
2016-05-15,2016-05-15 00:40:01.920,S1,11.761146,76.587991,,-9.443698286340013,-15.88564937738177,42.738514300018664,1.682142831729368,,,,,,,,,,
2016-05-27,2016-05-27 00:40:02.460,S1,11.761146,76.587991,,-11.075249447497777,-20.149880562907974,42.74004911765074,1.8193613298218236,,,,,,,,,,
2016-06-08,2016-06-08 00:40:03.190,S1,11.761146,76.587991,,-9.375325421626904,-15.39035699358128,42.739223731001175,1.6415810973429212,,,,,,,,,,
2016-07-02,2016-07-02 00:40:04.610,S1,11.761146,76.587991,,-5.781257096373252,-13.418805053670988,42.73478671791875,2.3210877547876203,,,,,,,,,,
2016-07-14,2016-07-14 00:40:10.750,S1,11.761146,76.587991,,-9.768728309258204,-14.430485935960164,42.72277075353294,1.4772123329792917,,,,,,,,,,
2016-07-26,2016-07-26 00:40:11.560,S1,11.761146,76.587991,,-7.22370840889461,-15.796025364872625,42.72075587947195,2.1866919967897447,,,,,,,,,,
2016-08-07,2016-08-07 00:40:12.370,S1,11.761146,76.587991,,-8.122240190129922,-15.61881504661938,42.71810299459129,1.9229688707801613,,,,,,,,,,
2016-08-19,2016-08-19 00:40:12.000,S1,11.761146,76.587991,,-10.591512588660414,-15.717073328723517,42.71735407802592,1.4839309491592994,,,,,,,,,,
2016-08-31,2016-08-31 00:40:13.250,S1,11.761146,76.587991,,-11.781344410650567,-15.151760131567864,42.725144841120795,1.2860807394672527,,,,,,,,,,
2016-09-12,2016-09-12 00:40:13.000,S1,11.761146,76.587991,,-10.821795995793245,-14.148798497700811,42.71940675250229,1.3074353372768135,,,,,,,,,,
2016-09-24,2016-09-24 00:40:14.000,S1,11.761146,76.587991,,-11.117062078745136,-16.58604170484186,42.716800348154386,1.4919446871267315,,,,,,,,,,
2016-10-06,2016-10-06 00:40:07.000,S1,11.761146,76.587991,,-10.280710322970753,-16.687196548352013,42.72598250727034,1.6231559905998807,,,,,,,,,,
2016-10-18,2016-10-18 00:40:07.000,S1,11.761146,76.587991,,-7.234921256268917,-14.52409097555358,42.7274917602539,2.0074981414578272,,,,,,,,,,
2016-10-30,2016-10-30 00:40:07.000,S1,11.761146,76.587991,,-10.384166938866358,-18.74496417426996,42.724466460440176,1.8051485771198852,,,,,,,,,,
2016-11-11,2016-11-11 00:40:07.180,S1,11.761146,76.587991,,-10.984927970822554,-16.17467421495165,42.72661935599746,1.4724424464059993,,,,,,,,,,
2016-11-23,2016-11-23 00:40:07.000,S1,11.761146,76.587991,,-14.992166350744942,-18.87374637327356,42.725180064293966,1.2589072140555422,,,,,,,,,,
2016-12-05,2016-12-05 00:40:06.000,S1,11.761146,76.587991,,-12.049744403403084,-20.05495481987043,42.72238030740322,1.66434690632994,,,,,,,,,,
2016-12-17,2016-12-17 00:40:06.000,S1,11.761146,76.587991,,-10.378394676431375,-17.297820042970407,42.723488919804275,1.6667144180065319,,,,,,,,,,
2016-12-29,2016-12-29 00:40:05.000,S1,11.761146,76.587991,,-12.34052512944538,-19.003369703707957,42.72066138007424,1.5399158062054061,,,,,,,,,,
2017-01-10,2017-01-10 00:40:04.300,S1,11.761146,76.587991,,-11.027424973267305,-19.144087990017965,42.726020279026876,1.7360433679147294,,,,,,,,,,
2017-01-22,2017-01-22 00:40:03.000,S1,11.761146,76.587991,,-12.616352332050015,-19.65472870378049,42.728557996593146,1.5578772839000776,,,,,,,,,,
2017-01-24,2017-01-24 05:25:30.026,S2,11.761146,76.587991,0.001792,,,,,0.25532361840242884,0.1437844943206595,-0.4649394714769292,-0.16173942856171522,0.05363042362002567,0.08669358151476252,0.14078151476251605,0.2374272139716669,0.3289970474967907,0.2508261874197689
2017-02-03,2017-02-03 00:40:03.680,S1,11.761146,76.587991,,-11.277050892556042,-20.348561020526862,42.72681401025452,1.804422203499933,,,,,,,,,,
2017-02-03,2017-02-03 05:25:31.009,S2,11.761146,76.587991,0.000641,,,,,0.22195272008482209,0.12203838422664011,-0.45300607965658196,-0.2241067755444711,0.052059563543003846,0.08754338896020539,0.14809807445442874,0.23257303991580958,0.36692426187419774,0.30034788189987166
2017-02-23,2017-02-23 05:25:31.090,S2,11.761146,76.587991,1.1e-05,,,,,0.17767618461084317,0.09315126721381087,-0.42268636707237567,-0.2505569550483047,0.05106238767650834,0.08593222079589216,0.14772503209242616,0.21166213164739647,0.35301142490372267,0.2987991014120667
2017-02-27,2017-02-27 00:40:02.000,S1,11.761146,76.587991,,-14.26222509716594,-22.47639428490396,42.70369766448355,1.5759388266400498,,,,,,,,,,
2017-03-11,2017-03-11 00:40:05.030,S1,11.761146,76.587991,,-14.747969054395949,-23.56214223026854,42.722236506792974,1.5976533543949456,,,,,,,,,,
2017-03-23,2017-03-23 00:40:05.170,S1,11.761146,76.587991,,-13.911409048661755,-21.45075597054222,42.727676181842,1.5419542258809316,,,,,,,,,,
2017-03-25,2017-03-25 05:25:35.045,S2,11.761146,76.587991,0.0,,,,,0.17474310495708617,0.09396171558656137,-0.42248892346384753,-0.2600350016206536,0.05224454428754815,0.09137856225930681,0.1579209242618742,0.22488651953551522,0.38260141206675236,0.3291962772785623
2017-04-04,2017-04-04 00:40:05.000,S1,11.761146,76.587991,,-12.520578991497405,-25.747260305841806,42.72393180150066,2.0563953410881797,,,,,,,,,,
2017-04-16,2017-04-16 00:40:06.000,S1,11.761146,76.587991,,-14.679807202877452,-19.276533000809877,42.721030718792505,1.3131325728195804,,,,,,,,,,
2017-04-28,2017-04-28 00:40:06.570,S1,11.761146,76.587991,,-13.425658225347092,-20.305677956621963,42.72434951801494,1.5124530667915914,,,,,,,,,,
2017-05-10,2017-05-10 00:40:07.000,S1,11.761146,76.587991,,-11.342864038799444,-23.248760819474146,42.71829241307085,2.0496376170911814,,,,,,,,,,
2017-05-22,2017-05-22 00:40:07.000,S1,11.761146,76.587991,,-6.36705607788031,-15.85600567077602,42.72163416640926,2.4903197768056606,,,,,,,,,,
2017-06-03,2017-06-03 00:40:08.000,S1,11.761146,76.587991,,-12.666781170093234,-15.523384765880714,42.723501438751796,1.2255192978727723,,,,,,,,,,
2017-06-15,2017-06-15 00:40:09.000,S1,11.761146,76.587991,,-11.886705630224588,-18.538660283267756,42.725359849869065,1.5596129709924924,,,,,,,,,,
2017-06-27,2017-06-27 00:40:10.000,S1,11.761146,76.587991,,-8.341924048475326,-18.120272758834048,42.722733404074496,2.1721934476430453,,,,,,,,,,
2017-07-09,2017-07-09 00:40:22.000,S1,11.761146,76.587991,,-12.132526168472426,-18.477581926198074,42.71471751382643,1.5229789468094375,,,,,,,,,,
2017-07-21,2017-07-21 00:40:11.000,S1,11.761146,76.587991,,-8.048366803798887,-17.936110606226805,42.72504634350802,2.228540403720272,,,,,,,,,,
2017-08-02,2017-08-02 00:40:24.000,S1,11.761146,76.587991,,-9.274861763884589,-16.79907346858786,42.71489720441857,1.811247854280893,,,,,,,,,,
2017-08-14,2017-08-14 00:40:12.000,S1,11.761146,76.587991,,-13.831248988145417,-15.746202226240538,42.721987072565376,1.1384512157749747,,,,,,,,,,
2017-08-26,2017-08-26 00:40:13.000,S1,11.761146,76.587991,,-8.757890605253394,-17.930699531329672,42.722258613451906,2.0473765133094948,,,,,,,,,,
2017-09-07,2017-09-07 00:40:13.000,S1,11.761146,76.587991,,-9.333102123118653,-15.104229108449271,42.7247370568942,1.61835035224089,,,,,,,,,,
2017-09-19,2017-09-19 00:40:14.000,S1,11.761146,76.587991,,-10.884960048648884,-14.199967851824,42.720604532722895,1.3045493771551875,,,,,,,,,,
2017-10-01,2017-10-01 00:40:14.000,S1,11.761146,76.587991,,-13.685219348110753,-16.63255961209594,42.7215442536905,1.215366680578055,,,,,,,,,,
2017-10-13,2017-10-13 00:40:14.000,S1,11.761146,76.587991,,-9.205322074716973,-15.726862460755065,42.72101045177829,1.708453254878494,,,,,,,,,,
2017-10-25,2017-10-25 00:40:14.000,S1,11.761146,76.587991,,-11.49741624482275,-15.280508908764158,42.71981983521122,1.3290385059899803,,,,,,,,,,
2017-11-06,2017-11-06 00:40:14.000,S1,11.761146,76.587991,,-8.043710819721213,-13.507314432020445,42.72160077552942,1.6792391888211362,,,,,,,,,,
2017-11-18,2017-11-18 00:40:14.000,S1,11.761146,76.587991,,-9.304622747091296,-14.762735301084097,42.722258661355184,1.5866022408806477,,,,,,,,,,
2017-11-30,2017-11-30 00:40:14.000,S1,11.761146,76.587991,,-8.254123116072474,-16.89710203469699,42.72400221758503,2.0471104921847916,,,,,,,,,,
2017-12-12,2017-12-12 00:40:13.000,S1,11.761146,76.587991,,-8.343282398117632,-15.744493342013756,42.72540731934515,1.88708623186073,,,,,,,,,,
2017-12-24,2017-12-24 00:40:13.000,S1,11.761146,76.587991,,-10.977286645417497,-18.96824423329516,42.72616231802738,1.7279538055256591,,,,,,,,,,
2018-01-02,2018-01-02 05:35:25.356,S2,11.761146,76.587991,7.377804,,,,,0.37335632822327763,0.1926697142277986,-0.5054609220907227,-0.15622357055648484,0.041917073170731706,0.06756649550706033,0.0938625160462131,0.20587060211252645,0.28182284980744543,0.2191279845956354
2018-01-04,2018-01-04 05:25:34.168,S2,11.761146,76.587991,20.856112,,,,,0.345344557187499,0.21413026353862655,-0.4621717256393652,-0.17123566446086574,0.06710423620025674,0.08757278562259306,0.11581078305519898,0.2381139942403017,0.33632374839537865,0.26973684210526316
2018-01-05,2018-01-05 00:40:12.000,S1,11.761146,76.587991,,-13.215491103208363,-20.24730577458157,42.72336168570036,1.532088790076524,,,,,,,,,,
2018-01-17,2018-01-17 00:40:12.000,S1,11.761146,76.587991,,-11.046940479269914,-16.527599479127225,42.72073472356915,1.496124606640365,,,,,,,,,,
2018-01-29,2018-01-29 00:40:11.000,S1,11.761146,76.587991,,-14.883002215098902,-17.695389983608905,42.724171342354154,1.18896642813483,,,,,,,,,,
2018-02-03,2018-02-03 05:25:30.416,S2,11.761146,76.587991,0.000245,,,,,0.2422792981275651,0.1361545729873661,-0.45347598741193346,-0.20668207037049036,0.057681129653401796,0.08466636713735559,0.13703234916559692,0.2247825411455622,0.3417952503209242,0.2885765083440308
2018-02-10,2018-02-10 00:40:11.000,S1,11.761146,76.587991,,-5.299780342243554,-16.020220100458086,42.72181082982098,3.022808317688928,,,,,,,,,,
2018-02-21,2018-02-21 05:35:28.954,S2,11.761146,76.587991,9.7e-05,,,,,0.2166913655895301,0.11335277395234324,-0.4127944473606246,-0.24082586579828066,0.05631591784338897,0.08016611039794609,0.12417843388960208,0.19288421413635254,0.31535147625160465,0.25994993581514764
2018-02-22,2018-02-22 00:40:11.000,S1,11.761146,76.587991,,-12.70063108491,-17.343199834006906,42.72579696597401,1.3655384301818578,,,,,,,,,,
2018-02-23,2018-02-23 05:25:29.219,S2,11.761146,76.587991,7.5e-05,,,,,0.20922024103020184,0.12078152748234454,-0.41669284164718146,-0.24342729278023784,0.06569550706033375,0.09347881899871631,0.14837278562259307,0.22681514964712757,0.37286148908857514,0.3264540436456996
2018-03-06,2018-03-06 00:40:11.000,S1,11.761146,76.587991,,-12.014834148471135,-18.206876178073166,42.72531077361628,1.5153664173042254,,,,,,,,,,
2018-03-13,2018-03-13 05:35:27.929,S2,11.761146,76.587991,30.406949,,,,,0.16360326611907422,0.08542844847538489,-0.3966169230531602,-0.2525574757243131,0.055858921694480104,0.08630564826700898,0.1434415917843389,0.1994998703527818,0.33446636713735556,0.2747278562259307
2018-03-18,2018-03-18 00:40:11.000,S1,11.761146,76.587991,,-10.040932847051717,-20.375572495706866,42.722840821910495,2.029250947703497,,,,,,,,,,
2018-03-30,2018-03-30 00:40:11.000,S1,11.761146,76.587991,,-9.220188845334855,-20.63514843016553,42.72308617853056,2.2380396731902414,,,,,,,,,,
2018-04-02,2018-04-02 05:35:31.730,S2,11.761146,76.587991,46.732804,,,,,0.11497219587739399,0.10139213074703297,-0.16725220169275462,-0.11905022852765981,0.15266495507060335,0.15546315789473683,0.17298254172015404,0.21794659687404608,0.2768001283697048,0.23019987163029526
2018-04-11,2018-04-11 00:40:12.000,S1,11.761146,76.587991,,-9.625860536353448,-20.479289099159683,42.724527157852584,2.1275281333878358,,,,,,,,,,
2018-04-23,2018-04-23 00:40:12.000,S1,11.761146,76.587991,,-7.4724449754387745,-15.97464776329257,42.72714853467137,2.1378073462969267,,,,,,,,,,
2018-05-05,2018-05-05 00:40:13.000,S1,11.761146,76.587991,,-11.714638532286436,-22.977827331346504,42.725319918178734,1.9614627688270416,,,,,,,,,,
2018-05-17,2018-05-17 00:40:13.000,S1,11.761146,76.587991,,-8.630751349183338,-15.729293146898291,42.722416061010115,1.8224708962779508,,,,,,,,,,
