lon,lat
7.655002065830899483e+01,1.173953549554358133e+01
7.654240305464303162e+01,1.173794849256430695e+01
7.653563186449869704e+01,1.173445706156842405e+01
7.653018318249185370e+01,1.173382229818335354e+01
7.652711501178269771e+01,1.173683758319555714e+01
7.652484030105584623e+01,1.173572666436567502e+01
7.651923287884510216e+01,1.174407669917419028e+01
7.651922876110585037e+01,1.174202659927094494e+01
7.651928576827722850e+01,1.174423540972108349e+01
7.651920435351523508e+01,1.174300285670929256e+01
7.651919214971992744e+01,1.174349098542846548e+01
7.651918604782227362e+01,1.174373504978805194e+01
7.651918299687345382e+01,1.174385708196784428e+01
7.651935101592009403e+01,1.174402793029105574e+01
7.651940374703811187e+01,1.174418658470880494e+01
7.651941017595287065e+01,1.174380170748495011e+01
7.651986770984585462e+01,1.174490482093831289e+01
7.651970283485039204e+01,1.174399908830821104e+01
7.651960321192441938e+01,1.174465354972115705e+01
7.651955306111425159e+01,1.174434925467341273e+01
7.652007754434438880e+01,1.174441909488661295e+01
7.651984728215076359e+01,1.174326314759984236e+01
7.652289938083792720e+01,1.174405345351302898e+01
7.652167369917562212e+01,1.174028350868842097e+01
7.653567513092717434e+01,1.178232087081208057e+01
7.661292955189085774e+01,1.175253916038935031e+01
7.652541766719187422e+01,1.174017641341646723e+01
7.660437491674683486e+01,1.178066365239088498e+01
7.656635240153849509e+01,1.173975624515189686e+01
7.656588641279583385e+01,1.178772520854439065e+01
7.659553902327195374e+01,1.177959262823801012e+01
7.655351956053453932e+01,1.179338876726850138e+01
7.664330585190933220e+01,1.178210119159364133e+01
7.666004339054585159e+01,1.179631119970006026e+01
7.652899015093589696e+01,1.175142105840144247e+01
7.653315098972878161e+01,1.174200691386743856e+01
7.657654836973510726e+01,1.178021173804125787e+01
7.657913178863665848e+01,1.174041890443657010e+01
7.663383777050465540e+01,1.180455972785719077e+01
7.655811978047178457e+01,1.174458420259843905e+01
7.665304344607116604e+01,1.180335932331341198e+01
7.652850886315603418e+01,1.177794185759094958e+01
7.654284154008141172e+01,1.179068565057535345e+01
7.652197621667632177e+01,1.175418939858513845e+01
7.653799770606670450e+01,1.178758328749624873e+01
7.654556597757139969e+01,1.178109927575560612e+01
